Movie Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross Collection,Popularity,Certification
Oldboy,Josh Brolin,Elizabeth Olsen,Samuel L. Jackson,Sharlto Copley,"78,675",Action,Drama,Mystery,"$5,186,767",930,R
Army of the Dead,Dave Bautista,Ella Purnell,Ana de la Reguera,Omari Hardwick,"179,687",Action,Crime,Drama,1.78 : 1,"1,111",R
Teenage Mutant Ninja Turtles,Megan Fox,Will Arnett,William Fichtner,Noel Fisher,"215,381",Action,Adventure,Comedy,2.35 : 1,"1,138",PG-13
The League of Extraordinary Gentlemen,Sean Connery,Stuart Townsend,Peta Wilson,Jason Flemyng,"180,505",Action,Adventure,Fantasy,2.39 : 1,"1,172",PG-13
Battleship,Alexander Skarsgård,Brooklyn Decker,Liam Neeson,Rihanna,"253,126",Action,Adventure,Sci-Fi,"$303,025,485","1,455",PG-13
Clash of the Titans,Sam Worthington,Liam Neeson,Ralph Fiennes,Jason Flemyng,"287,982",Action,Adventure,Fantasy,"$493,214,993","1,657",PG-13
Hollow Man,Kevin Bacon,Elisabeth Shue,Josh Brolin,Kim Dickens,"134,985",Action,Horror,Sci-Fi,1.85 : 1,"1,686",R
The Man from Toronto,Kevin Hart,Woody Harrelson,Jasmine Mathews,Kaley Cuoco,"55,127",Action,Adventure,Comedy,,"1,753",PG-13
Mortal Kombat,Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,"121,700",Action,Adventure,Fantasy,,"1,941",PG-13
Species,Natasha Henstridge,Michael Madsen,Ben Kingsley,Alfred Molina,"82,754",Action,Horror,Sci-Fi,2.39 : 1,"2,146",R
Over the Top,Sylvester Stallone,Robert Loggia,Susan Blakely,Rick Zumwalt,"57,297",Action,Drama,Sport,,"2,229",PG
Journey to the Center of the Earth,Brendan Fraser,Josh Hutcherson,Aníta Briem,Seth Meyers,"127,668",Action,Adventure,Family,"$244,232,688","2,397",PG
Noah,Russell Crowe,Jennifer Connelly,Anthony Hopkins,Emma Watson,"261,497",Action,Adventure,Drama,1.85 : 1,"2,476",PG-13
xXx,Vin Diesel,Asia Argento,Marton Csokas,Samuel L. Jackson,"183,571",Action,Adventure,Thriller,2.39 : 1,"2,541",PG-13
Without Remorse,Michael B. Jordan,Jodie Turner-Smith,Jamie Bell,Guy Pearce,"61,635",Action,Thriller,War,,"2,566",R
Blade: Trinity,Wesley Snipes,Kris Kristofferson,Parker Posey,Ryan Reynolds,"183,441",Action,Horror,Sci-Fi,2.39 : 1,"2,608",R
Cobra,Sylvester Stallone,Brigitte Nielsen,Reni Santoni,Andrew Robinson,"77,074",Action,Crime,Thriller,"$49,042,224","2,624",R
The Mortal Instruments: City of Bones,Lily Collins,Jamie Campbell Bower,Robert Sheehan,Jemima West,"136,715",Action,Adventure,Fantasy,,"2,663",PG-13
Pride and Prejudice and Zombies,Lily James,Sam Riley,Jack Huston,Bella Heathcote,"58,670",Action,Comedy,Fantasy,,"3,060",PG-13
Troll,Ine Marie Wilmann,Kim Falck,Mads Sjøgård Pettersen,Gard B. Eidsvold,"45,415",Action,Adventure,Drama,,"3,202",TV-14
Around the World in 80 Days,Jackie Chan,Steve Coogan,Jim Broadbent,Kathy Bates,"92,694",Action,Adventure,Comedy,2.39 : 1,"3,245",PG
End of Days,Arnold Schwarzenegger,Gabriel Byrne,Robin Tunney,Kevin Pollak,"114,390",Action,Fantasy,Horror,2.39 : 1,"3,447",R
Rambo III,Sylvester Stallone,Richard Crenna,Marc de Jonge,Kurtwood Smith,"136,225",Action,Adventure,Thriller,"$189,015,611","3,505",R
1941,John Belushi,Dan Aykroyd,Treat Williams,Nancy Allen,"35,258",Action,Comedy,War,,"3,529",PG
Extinction,Michael Peña,Lizzy Caplan,Amelia Crouch,Erica Tremblay,"55,454",Action,Drama,Sci-Fi,,"3,603",TV-MA
Lake Placid,Bridget Fonda,Bill Pullman,Oliver Platt,Brendan Gleeson,"63,704",Action,Comedy,Horror,,"3,604",R
RoboCop 2,Peter Weller,Nancy Allen,Belinda Bauer,Dan O'Herlihy,"89,579",Action,Crime,Sci-Fi,,"3,725",R
Wild Hogs,Tim Allen,Martin Lawrence,John Travolta,William H. Macy,"121,253",Action,Adventure,Comedy,,"3,728",PG-13
The Host,Saoirse Ronan,Max Irons,Jake Abel,Diane Kruger,"117,066",Action,Adventure,Drama,,"4,229",PG-13
Into the Storm,Richard Armitage,Sarah Wayne Callies,Matt Walsh,Max Deacon,"70,306",Action,Adventure,Drama,,_,PG-13
The Green Hornet,Seth Rogen,Jay Chou,Christoph Waltz,Cameron Diaz,"162,864",Action,Comedy,Crime,2.35 : 1,_,PG-13
Hard to Kill,Steven Seagal,Kelly LeBrock,William Sadler,Frederick Coffin,"31,431",Action,Crime,Drama,,_,R
Straw Dogs,James Marsden,Kate Bosworth,Alexander Skarsgård,James Woods,"35,255",Action,Drama,Thriller,2.39 : 1,_,R
Haywire,Gina Carano,Ewan McGregor,Michael Fassbender,Michael Angarano,"88,638",Action,Drama,Thriller,2.39 : 1,_,R
Morgan,Kate Mara,Anya Taylor-Joy,Rose Leslie,Michael Yare,"45,033",Action,Horror,Sci-Fi,,_,R
Firewall,Harrison Ford,Virginia Madsen,Paul Bettany,Carly Schroeder,"58,872",Action,Crime,Thriller,2.35 : 1,_,PG-13
Resident Evil: Afterlife,Milla Jovovich,Ali Larter,Wentworth Miller,Kim Coates,"175,795",Action,Horror,Sci-Fi,"$300,228,084",_,R
The Gunman,Sean Penn,Idris Elba,Jasmine Trinca,Javier Bardem,"42,462",Action,Adventure,Crime,,_,R
Air America,Mel Gibson,Robert Downey Jr.,Nancy Travis,Ken Jenkins,"29,753",Action,Comedy,War,,_,R
Striking Distance,Bruce Willis,Sarah Jessica Parker,Dennis Farina,Tom Sizemore,"44,432",Action,Crime,Mystery,,_,R
Reindeer Games,Ben Affleck,Gary Sinise,Charlize Theron,James Frain,"41,338",Action,Crime,Thriller,,_,R
Cirque du Freak: The Vampire's Assistant,Chris Massoglia,John C. Reilly,Salma Hayek,Josh Hutcherson,"47,350",Action,Adventure,Fantasy,2.35 : 1,_,PG-13
Sudden Death,Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry,Whittni Wright,"35,997",Action,Crime,Thriller,,_,R
Cradle 2 the Grave,Jet Li,DMX,Mark Dacascos,Anthony Anderson,"45,925",Action,Crime,Drama,,_,R
Bulletproof,Damon Wayans,Adam Sandler,James Caan,Jeep Swenson,"39,362",Action,Comedy,Crime,,_,R
Taxi 3,Samy Naceri,Frédéric Diefenthal,Bernard Farcy,Bai Ling,"44,413",Action,Comedy,Crime,,_,Not Rated
Murder Mystery 2,Adam Sandler,Jennifer Aniston,Mark Strong,Mélanie Laurent,"57,222",Action,Comedy,Crime,,812,PG-13
The Matrix Resurrections,Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II,Jonathan Groff,"263,626",Action,Sci-Fi,,"$157,286,805",885,R
Escape Room: Tournament of Champions,Taylor Russell,Logan Miller,Deborah Ann Woll,Thomas Cocquerel,"53,688",Action,Adventure,Horror,,952,PG-13
G.I. Joe: The Rise of Cobra,Dennis Quaid,Channing Tatum,Marlon Wayans,Adewale Akinnuoye-Agbaje,"212,477",Action,Adventure,Sci-Fi,,"1,115",PG-13
X-Men: Dark Phoenix,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,"196,179",Action,Adventure,Sci-Fi,"$252,442,974","1,369",PG-13
Planet of the Apes,Mark Wahlberg,Helena Bonham Carter,Tim Roth,Michael Clarke Duncan,"224,250",Action,Adventure,Sci-Fi,2.35 : 1,"1,499",PG-13
Strange World,Jake Gyllenhaal,Jaboukie Young-White,Gabrielle Union,Dennis Quaid,"41,534",Animation,Action,Adventure,,"1,714",PG
Memory,Liam Neeson,Guy Pearce,Taj Atwal,Harold Torres,"31,176",Action,Crime,Thriller,,"1,735",R
Fool's Gold,Matthew McConaughey,Kate Hudson,Donald Sutherland,Alexis Dziena,"82,462",Action,Adventure,Comedy,2.40:1,"1,744",PG-13
G.I. Joe: Retaliation,Dwayne Johnson,Channing Tatum,Adrianne Palicki,Lee Byung-hun,"184,987",Action,Adventure,Sci-Fi,2.39 : 1,"1,793",PG-13
Fantastic Four,Ioan Gruffudd,Michael Chiklis,Chris Evans,Jessica Alba,"337,284",Action,Adventure,Fantasy,,"2,019",PG-13
The Darkest Minds,Amandla Stenberg,Mandy Moore,Bradley Whitford,Harris Dickinson,"34,294",Action,Adventure,Drama,2.39 : 1,"2,107",PG-13
The Three Musketeers,Logan Lerman,Matthew Macfadyen,Ray Stevenson,Milla Jovovich,"110,181",Action,Adventure,Fantasy,,"2,130",PG-13
Samaritan,Sylvester Stallone,Javon 'Wanna' Walton,Pilou Asbæk,Dascha Polanco,"51,174",Action,Drama,Fantasy,,"2,233",PG-13
Only God Forgives,Ryan Gosling,Kristin Scott Thomas,Vithaya Pansringarm,Gordon Brown,"115,506",Action,Crime,Drama,1.85 : 1,"2,274",R
Mechanic: Resurrection,Jason Statham,Jessica Alba,Tommy Lee Jones,Michelle Yeoh,"89,186",Action,Adventure,Crime,,"2,292",R
Lara Croft: Tomb Raider,Angelina Jolie,Jon Voight,Iain Glen,Noah Taylor,"214,483",Action,Adventure,Fantasy,,"2,496",PG-13
Journey 2: The Mysterious Island,Josh Hutcherson,Dwayne Johnson,Michael Caine,Luis Guzmán,"108,576",Action,Adventure,Comedy,"$335,287,748","2,535",PG
Chaos Walking,Tom Holland,Daisy Ridley,Demián Bichir,David Oyelowo,"53,265",Action,Adventure,Fantasy,2.39 : 1,"2,564",PG-13
Poseidon,Richard Dreyfuss,Kurt Russell,Emmy Rossum,Josh Lucas,"107,855",Action,Adventure,Thriller,"$181,674,817","2,664",PG-13
Hitman: Agent 47,Rupert Friend,Hannah Ware,Zachary Quinto,Ciarán Hinds,"93,639",Action,Crime,Thriller,"$82,347,656","2,939",R
Bloodshot,Vin Diesel,Eiza González,Sam Heughan,Toby Kebbell,"81,739",Action,Adventure,Sci-Fi,,"3,133",PG-13
Buffy the Vampire Slayer,Kristy Swanson,Donald Sutherland,Paul Reubens,Rutger Hauer,"47,245",Action,Comedy,Fantasy,,"3,149",PG-13
Allegiant,Shailene Woodley,Theo James,Jeff Daniels,Naomi Watts,"128,361",Action,Adventure,Mystery,,"3,159",PG-13
Freddy vs. Jason,Robert Englund,Ken Kirzinger,Kelly Rowland,Monica Keena,"123,348",Action,Horror,,,"3,176",R
Pan,Levi Miller,Hugh Jackman,Garrett Hedlund,Rooney Mara,"66,117",Action,Adventure,Comedy,,"3,259",PG
Gemini Man,Will Smith,Mary Elizabeth Winstead,Clive Owen,Benedict Wong,"117,321",Action,Sci-Fi,Thriller,1.85 : 1,"3,407",PG-13
Bandidas,Penélope Cruz,Salma Hayek,Steve Zahn,Dwight Yoakam,"36,546",Action,Comedy,Crime,,"3,594",PG-13
Wrath of the Titans,Sam Worthington,Liam Neeson,Rosamund Pike,Ralph Fiennes,"192,708",Action,Adventure,Fantasy,,"3,727",PG-13
Escape from L.A.,Kurt Russell,Steve Buscemi,Stacy Keach,A.J. Langer,"77,992",Action,Adventure,Sci-Fi,2.39 : 1,"4,069",R
Battle Los Angeles,Aaron Eckhart,Michelle Rodriguez,Bridget Moynahan,Ramón Rodríguez,"183,019",Action,Adventure,Sci-Fi,"$211,819,354","4,129",PG-13
Underworld: Blood Wars,Kate Beckinsale,Theo James,Tobias Menzies,Lara Pulver,"78,747",Action,Adventure,Fantasy,,"4,313",R
Drillbit Taylor,Owen Wilson,Josh Peck,Alex Frost,Nate Hartley,"61,598",Action,Comedy,Crime,2.35 : 1,"4,367",PG-13
Gamer,Gerard Butler,Michael C. Hall,Ludacris,Amber Valletta,"137,713",Action,Sci-Fi,Thriller,1.85 : 1,"4,415",R
Race to Witch Mountain,Dwayne Johnson,Carla Gugino,AnnaSophia Robb,Alexander Ludwig,"61,640",Action,Adventure,Family,"$106,387,141","4,460",PG
The Do-Over,Adam Sandler,David Spade,Paula Patton,Kathryn Hahn,"49,276",Action,Adventure,Comedy,,"4,669",TV-MA
Cutthroat Island,Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,"29,479",Action,Adventure,Comedy,2.39 : 1,"4,817",PG-13
Priest,Paul Bettany,Cam Gigandet,Maggie Q,Karl Urban,"122,222",Action,Fantasy,Horror,2.35 : 1,_,PG-13
Cooties,Elijah Wood,Rainn Wilson,Alison Pill,Jack McBrayer,"27,446",Action,Comedy,Horror,,_,R
The Marksman,Katheryn Winnick,Liam Neeson,Teresa Ruiz,Juan Pablo Raba,"40,484",Action,Drama,Thriller,,_,PG-13
Sabotage,Arnold Schwarzenegger,Sam Worthington,Terrence Howard,Olivia Williams,"65,091",Action,Crime,Drama,1.85 : 1,_,R
Hudson Hawk,Bruce Willis,Danny Aiello,Andie MacDowell,James Coburn,"58,472",Action,Adventure,Comedy,,_,R
Ben-Hur,Jack Huston,Toby Kebbell,Rodrigo Santoro,Nazanin Boniadi,"45,533",Action,Drama,Romance,2.35 : 1,_,PG-13
Bullet to the Head,Sylvester Stallone,Jason Momoa,Christian Slater,Sung Kang,"51,320",Action,Crime,Thriller,,_,R
Red Planet,Val Kilmer,Carrie-Anne Moss,Tom Sizemore,Benjamin Bratt,"59,188",Action,Sci-Fi,Thriller,2.39 : 1,_,PG-13
Beckett,John David Washington,Boyd Holbrook,Vicky Krieps,Alicia Vikander,"27,438",Action,Crime,Drama,,_,TV-MA
Mighty Joe Young,Bill Paxton,Charlize Theron,Rade Serbedzija,Peter Firth,"30,079",Action,Adventure,Family,,_,PG
Money Train,Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,"42,239",Action,Comedy,Crime,2.39 : 1,_,R
Close,Noomi Rapace,Olivia Jewson,Abdellatif Chaouqi,Sophie Nélisse,"26,072",Action,Drama,Thriller,,_,TV-MA
Crocodile Dundee II,Paul Hogan,Linda Kozlowski,John Meillon,Ernie Dingo,"59,358",Action,Adventure,Comedy,2.39 : 1,_,PG
Nowhere to Run,Jean-Claude Van Damme,Rosanna Arquette,Kieran Culkin,Ted Levine,"25,382",Action,Drama,Romance,,_,R
The Art of War,Wesley Snipes,Donald Sutherland,Maury Chaykin,Anne Archer,"30,474",Action,Adventure,Crime,2.35 : 1,_,R
Armored,Columbus Short,Matt Dillon,Laurence Fishburne,Jean Reno,"31,409",Action,Crime,Thriller,,_,PG-13
Samrat Prithviraj,Akshay Kumar,Sanjay Dutt,Ashutosh Rana,Manushi Chhillar,"53,216",Action,Drama,History,,_,
The Meg,Jason Statham,Bingbing Li,Rainn Wilson,Cliff Curtis,"183,486",Action,Horror,Sci-Fi,2.39 : 1,117,PG-13
